順位,選手名,チーム,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
21,田嶋　大樹,オリックス,3.58,8,8,0,0,143.1,137,10,53,135,57,1.29,8.60,0.63,8.48,3.33,3.23,2.81,.739,1.28
21,大野　雄大,中日,2.95,7,11,0,0,143.1,121,12,28,118,47,1.03,7.60,0.75,7.41,1.76,3.13,4.54,.745,1.00
24,髙橋　優貴,巨人,3.39,11,9,0,0,140.2,125,18,63,76,53,1.32,8.00,1.15,4.86,4.03,5.00,1.25,.794,0.97
24,マルティネス,ソフトバンク,1.60,9,4,0,0,140.2,108,6,43,138,25,1.04,6.91,0.38,8.83,2.75,2.63,3.63,.869,1.25
26,伊藤　将司,阪神,2.44,10,7,0,1,140.1,119,15,37,79,38,1.09,7.63,0.96,5.07,2.37,4.11,2.32,.837,0.81
27,早川　隆久,楽天,3.86,9,7,0,0,137.2,132,11,32,127,59,1.18,8.63,0.72,8.30,2.09,2.99,4.23,.686,1.14
28,秋山　拓巳,阪神,2.71,10,7,0,0,132.2,121,18,28,107,40,1.10,8.21,1.22,7.26,1.90,3.84,4.28,.832,0.99
29,小川　泰弘,ヤクルト,4.14,9,6,0,0,128.1,132,15,31,97,59,1.26,9.26,1.05,6.80,2.17,3.78,3.23,.703,0.99
30,岩下　大輝,ロッテ,4.43,8,8,0,1,120.0,110,14,48,87,59,1.30,8.25,1.05,6.53,3.60,4.36,1.89,.688,1.11
30,今永　昇太,DeNA,3.08,5,5,0,0,120.0,97,16,30,110,41,1.03,7.28,1.20,8.25,2.25,3.70,4.23,.775,1.13
32,二木　康太,ロッテ,4.38,5,7,0,0,117.0,119,24,32,77,57,1.26,9.15,1.85,5.92,2.46,5.27,2.75,.740,0.90
33,山﨑　福也,オリックス,3.56,8,10,0,0,116.1,111,13,30,75,46,1.16,8.59,1.01,5.80,2.32,4.06,3.13,.742,0.85
34,菅野　智之,巨人,3.19,6,7,0,0,115.2,90,15,32,102,41,0.99,7.00,1.17,7.94,2.49,3.85,4.08,.757,1.10
35,美馬　学,ロッテ,4.92,6,7,0,0,115.1,139,15,36,92,63,1.48,10.85,1.17,7.18,2.81,4.13,2.88,.700,1.08
36,ガンケル,阪神,2.95,9,3,0,0,113.0,99,10,27,87,37,1.09,7.88,0.80,6.93,2.15,3.42,3.63,.767,0.98
